math_score,science_score,english_score,study_hours,final_score
62.0,78.0,69.0,10.2,82.9
38.0,84.0,38.0,8.2,64.5
22.0,36.0,85.0,10.3,59.9
99.0,71.0,92.0,11.3,96.9
39.0,28.0,46.0,5.0,40.6
64.0,70.0,73.0,10.9,86.1
22.0,36.0,93.0,5.1,51.9
55.0,24.0,89.0,2.5,62.3
100.0,34.0,49.0,5.1,70.4
45.0,42.0,82.0,3.0,57.5
,79.0,21.0,6.5,68.4
96.0,24.0,36.0,4.4,58.3
52.0,90.0,30.0,1.6,57.1
71.0,38.0,67.0,2.3,67.2
40.0,57.0,36.0,5.2,48.6
99.0,25.0,57.0,7.6,69.2
72.0,87.0,,4.2,81.8
67.0,27.0,24.0,1.2,38.7
87.0,96.0,61.0,5.7,83.1
40.0,40.0,43.0,11.4,51.8
42.0,28.0,29.0,4.2,45.3
74.0,85.0,82.0,11.7,90.4
76.0,40.0,84.0,6.2,73.1
20.0,45.0,69.0,5.8,50.2
79.0,51.0,63.0,11.8,73.8
95.0,59.0,86.0,1.1,77.6
55.0,20.0,,5.4,53.5
59.0,83.0,75.0,8.2,83.1
44.0,50.0,25.0,7.3,52.1
34.0,80.0,53.0,9.2,72.0
87.0,43.0,24.0,4.3,56.0
79.0,32.0,51.0,11.5,66.9
20.0,76.0,36.0,6.5,46.3
83.0,93.0,37.0,1.8,73.0
36.0,60.0,91.0,9.2,69.3
42.0,97.0,90.0,8.2,88.8
53.0,37.0,39.0,1.6,49.6
77.0,79.0,100.0,3.7,86.5
81.0,50.0,91.0,3.2,79.4
53.0,80.0,90.0,2.5,79.6
62.0,25.0,94.0,6.3,74.5
37.0,31.0,57.0,4.2,49.0
64.0,92.0,84.0,6.1,92.9
69.0,90.0,86.0,9.6,86.0
36.0,45.0,45.0,6.2,47.6
73.0,97.0,73.0,3.3,87.0
94.0,96.0,58.0,10.4,93.3
33.0,90.0,98.0,-4.0,86.5
23.0,45.0,47.0,3.5,37.6
71.0,56.0,63.0,6.4,65.1
47.0,80.0,88.0,3.2,76.0
92.0,73.0,59.0,2.9,70.7
84.0,35.0,97.0,9.8,86.3
72.0,83.0,46.0,11.5,74.3
40.0,34.0,89.0,11.6,74.1
,39.0,82.0,6.3,71.8
69.0,66.0,21.0,11.0,62.4
26.0,32.0,25.0,6.7,29.0
