math_score,science_score,english_score,study_hours,final_score,study_group,performance_level
62.0,78.0,69.0,10.2,82.9,High,Excellent
38.0,84.0,38.0,8.2,64.5,High,Good
22.0,36.0,85.0,10.3,59.9,High,Average
99.0,71.0,92.0,11.3,96.9,High,Excellent
39.0,28.0,46.0,5.0,40.6,Medium,Average
64.0,70.0,73.0,10.9,86.1,High,Excellent
22.0,36.0,93.0,5.1,51.9,Medium,Average
55.0,24.0,89.0,2.5,62.3,Low,Good
100.0,34.0,49.0,5.1,70.4,Medium,Good
45.0,42.0,82.0,3.0,57.5,Low,Average
60.0,79.0,21.0,6.5,68.4,Medium,Good
96.0,24.0,36.0,4.4,58.3,Medium,Average
52.0,90.0,30.0,1.6,57.1,Low,Average
71.0,38.0,67.0,2.3,67.2,Low,Good
40.0,57.0,36.0,5.2,48.6,Medium,Average
99.0,25.0,57.0,7.6,69.2,Medium,Good
72.0,87.0,61.0,4.2,81.8,Medium,Excellent
67.0,27.0,24.0,1.2,38.7,Low,Poor
87.0,96.0,61.0,5.7,83.1,Medium,Excellent
40.0,40.0,43.0,11.4,51.8,High,Average
42.0,28.0,29.0,4.2,45.3,Medium,Average
74.0,85.0,82.0,11.7,90.4,High,Excellent
76.0,40.0,84.0,6.2,73.1,Medium,Good
20.0,45.0,69.0,5.8,50.2,Medium,Average
79.0,51.0,63.0,11.8,73.8,High,Good
95.0,59.0,86.0,1.1,77.6,Low,Good
55.0,20.0,61.0,5.4,53.5,Medium,Average
59.0,83.0,75.0,8.2,83.1,High,Excellent
44.0,50.0,25.0,7.3,52.1,Medium,Average
34.0,80.0,53.0,9.2,72.0,High,Good
87.0,43.0,24.0,4.3,56.0,Medium,Average
79.0,32.0,51.0,11.5,66.9,High,Good
20.0,76.0,36.0,6.5,46.3,Medium,Average
83.0,93.0,37.0,1.8,73.0,Low,Good
36.0,60.0,91.0,9.2,69.3,High,Good
42.0,97.0,90.0,8.2,88.8,High,Excellent
53.0,37.0,39.0,1.6,49.6,Low,Average
77.0,79.0,100.0,3.7,86.5,Low,Excellent
81.0,50.0,91.0,3.2,79.4,Low,Good
53.0,80.0,90.0,2.5,79.6,Low,Good
62.0,25.0,94.0,6.3,74.5,Medium,Good
37.0,31.0,57.0,4.2,49.0,Medium,Average
64.0,92.0,84.0,6.1,92.9,Medium,Excellent
69.0,90.0,86.0,9.6,86.0,High,Excellent
36.0,45.0,45.0,6.2,47.6,Medium,Average
73.0,97.0,73.0,3.3,87.0,Low,Excellent
94.0,96.0,58.0,10.4,93.3,High,Excellent
33.0,90.0,98.0,6.6,86.5,Medium,Excellent
23.0,45.0,47.0,3.5,37.6,Low,Poor
71.0,56.0,63.0,6.4,65.1,Medium,Good
47.0,80.0,88.0,3.2,76.0,Low,Good
92.0,73.0,59.0,2.9,70.7,Low,Good
84.0,35.0,97.0,9.8,86.3,High,Excellent
72.0,83.0,46.0,11.5,74.3,High,Good
40.0,34.0,89.0,11.6,74.1,High,Good
60.0,39.0,82.0,6.3,71.8,Medium,Good
69.0,66.0,21.0,11.0,62.4,High,Good
26.0,32.0,25.0,6.7,29.0,Medium,Poor
32.0,86.0,100.0,6.3,87.2,Medium,Excellent
30.0,69.0,45.0,9.1,57.3,High,Average
47.0,92.0,43.0,5.7,72.8,Medium,Good
97.0,93.0,26.0,7.9,76.8,Medium,Good
35.0,23.0,27.0,9.3,39.0,High,Poor
80.0,24.0,46.0,6.5,59.6,Medium,Average
69.0,45.0,43.0,6.9,56.0,Medium,Average
49.0,98.0,57.0,2.9,69.2,Low,Good
56.0,94.0,86.0,9.3,87.2,High,Excellent
60.0,92.0,78.0,2.9,90.4,Low,Excellent
53.0,52.0,48.0,6.4,57.1,Medium,Average
29.0,98.0,28.0,6.9,67.0,Medium,Good
79.0,58.0,44.0,5.7,74.4,Medium,Good
60.0,26.0,49.0,7.9,50.4,Medium,Average
67.0,84.0,70.0,7.9,76.0,Medium,Good
23.0,52.0,28.0,5.2,41.1,Medium,Average
72.0,30.0,88.0,6.9,74.2,Medium,Good
41.0,99.0,64.0,6.2,68.5,Medium,Good
71.0,89.0,95.0,3.4,91.5,Low,Excellent
22.0,61.0,95.0,2.8,65.5,Low,Good
37.0,98.0,61.0,8.9,71.1,High,Good
44.0,71.0,88.0,3.8,74.6,Low,Good
60.0,76.0,42.0,10.0,76.8,High,Good
27.0,56.0,32.0,8.7,51.8,High,Average
39.0,60.0,63.0,5.1,56.9,Medium,Average
74.0,79.0,77.0,6.3,78.9,Medium,Good
81.0,40.0,90.0,6.6,74.7,Medium,Good
40.0,43.0,99.0,11.7,71.7,High,Good
65.0,69.0,67.0,8.3,84.6,High,Excellent
63.0,71.0,40.0,6.9,65.4,Medium,Good
86.0,59.0,54.0,6.6,63.7,Medium,Good
74.0,32.0,94.0,5.6,74.3,Medium,Good
58.0,83.0,72.0,11.1,84.0,High,Excellent
99.0,36.0,53.0,8.4,72.0,High,Good
49.0,27.0,31.0,6.5,44.3,Medium,Average
48.0,86.0,70.0,5.5,75.8,Medium,Good
38.0,27.0,34.0,8.4,41.0,High,Average
73.0,85.0,39.0,2.3,67.5,Low,Good
87.0,91.0,98.0,7.7,68.35,Medium,Good
64.0,58.0,70.0,5.8,62.2,Medium,Good
44.0,42.0,79.0,7.5,65.2,Medium,Good
96.0,31.0,83.0,6.0,78.4,Medium,Good
54.0,58.0,98.0,10.2,83.4,High,Excellent
34.0,100.0,24.0,9.1,61.4,High,Good
94.0,32.0,24.0,10.7,62.4,High,Good
97.0,91.0,41.0,4.8,79.0,Medium,Good
